name,section,query,name,name_desc,desc,lib,return_vals,env,files,exit_status,diagnostics,errors,md5_hash,machine,total_score
ls,1,List file,0.000000,0.082083,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122902
signbit,3,test,0.000000,0.230330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.681851
madvise,2,vm,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000079
uvm,9,vm,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000079
kill,2,sig,0.000000,0.000000,0.000079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000038,0.000000,0.000000,0.000438
rump.dhcpclient,1,Rump,2.391961,0.184868,0.000994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.645020
rump,7,Rump,4.422872,0.221562,0.000587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.645020
mk.conf,5,Rump,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.645020
fdisk,8,chdk,0.000000,0.000000,0.000270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000270
i2cscan,8,iic,0.000000,2.953071,0.005218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.584190
iic,4,iic,12.582649,0.000000,0.001541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.584190
route,8,Route,5.068392,0.350611,0.000352,0.000000,0.000000,0.000000,0.000000,0.000396,0.102331,0.000000,0.000000,0.000000,5.522083
kloader,4,kernel,0.000000,0.038604,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057881
gethostbyname,3,gethostbyname,12.204456,0.000000,0.002214,0.000000,0.000000,0.000000,0.000000,0.000000,0.046032,0.000000,0.000000,0.000000,12.252702
route,8,gethostbyname,0.000000,0.000000,0.000141,0.000000,0.000000,0.000000,0.000000,0.000000,0.048665,0.000000,0.000000,0.000000,12.252702
lua,1,Lua,6.414531,0.721160,0.001528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.137219
luactl,8,Lua,0.000000,0.364898,0.002746,0.000000,0.000000,0.000000,0.008123,0.000000,0.000000,0.000000,0.000000,0.000000,7.137219
ls,1,ls,13.034917,0.000000,0.000120,0.000000,0.000000,0.020594,0.000000,0.009991,0.000000,0.000000,0.000000,0.000000,13.065621
utoppya,1,ls,0.000000,0.000000,0.000127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.065621
ls,1,Ls,13.034917,0.000000,0.000120,0.000000,0.000000,0.020594,0.000000,0.009991,0.000000,0.000000,0.000000,0.000000,13.065621
service,8,service,8.481335,0.115807,0.000132,0.000000,0.000000,0.039750,0.000000,0.010740,0.000000,0.000000,0.000000,0.000000,8.647764
hier,7,cron,0.000000,0.000000,0.000143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.560590
strtok,3,strtok_r,0.000000,0.000000,0.002178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002178
ls,1,ls,13.034917,0.000000,0.000120,0.000000,0.000000,0.020594,0.000000,0.009991,0.000000,0.000000,0.000000,0.000000,13.065621
