query,name,section,indegree,outdegree,w_name,w_name_desc,w_desc,w_lib,w_return_vals,w_env,w_files,w_exit_status,w_diagnostics,w_errors,w_special_keywords,w_xr_context,w_machine,w_doclen,w_total,relevance
abor,ftp,1,23,17,0,0,0.001502,0,0,0,0,0,0,0,0.010522,0,0,8336,0.012024,1
abor,ftpd,8,27,43,0,0,0.001975,0,0,0,0,0,0,0,0.005232,0,0,3535,0.007206,1
accept,accept,2,21,0,29.980744,4.612422,0.001241,0,0.908507,0,0,0,0,0.374759,0.095703,0.054395,0,888,36.027771,1
accept,BIO_s_accept,3,0,0,0,11.992298,0.00294,0,0,0,0,0,0,0,0,0,0,809,11.995238,0
accept,getdate,3,0,0,0,0,0.000238,0,0,3.155868,0,0,0,0,0,0,0,821,3.156106,0
accept,accf_data,9,2,3,0,0,0.003407,0,0,0,0,0,0,0,0.778721,0,0,52,0.782128,0
accept,umodem,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0.19405,0,112,0.19405,0
accept,rump_server,1,7,0,0,0,0.000108,0,0,0,0,0,0,0,0,0.101802,0,764,0.10191,0
accept,recv,2,20,0,0,0,0.000079,0,0,0,0,0,0,0.069804,0.00519,0,0,1317,0.075073,1
accept,kqueue,2,8,0,0,0,0.000084,0,0,0,0,0,0,0,0,0.056302,0,2423,0.056386,1
accept,ubt,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0.052186,0,489,0.052186,0
accept,carp,4,17,8,0,0,0.000238,0,0,0,0,0,0,0,0.046374,0,0,476,0.046612,0
accept,evdns,3,0,0,0,0,0.000028,0,0,0,0,0,0,0,0,0,0,2594,0.000028,0
accept,local,8,0,0,0,0,0.000069,0,0,0,0,0,0,0,0,0,0,3149,0.000069,0
accept,rcmd,3,21,0,0,0,0.000096,0,0,0,0,0,0,0,0,0,0,990,0.000096,0
accept,rtadvd.conf,5,3,17,0,0,0.000043,0,0,0,0,0,0,0,0,0,0,1864,0.000043,0
accept,telnetd,8,11,22,0,0,0.000043,0,0,0,0,0,0,0,0,0,0,2147,0.000043,0
ack,cpi,4,0,7,0,0,0.00061,0,0,0,0,0,0,0,0.032422,0,0,338,0.033032,0
ack,hexdump,1,8,3,0,0,0.000113,0,0,0,0,0,0,0,0.014938,0,0,1470,0.015051,0
ack,sysctl,7,37,103,0,0,0.000047,0,0,0,0,0,0,0,0.001164,0,0,17504,0.001211,1
ack,ascii,7,22,0,0,0,0.000605,0,0,0,0,0,0,0,0,0,0,731,0.000605,0
ack,plip,4,1,9,0,0,0.000596,0,0,0,0,0,0,0,0,0,0,1014,0.000596,0
ack,tcpdump,8,26,0,0,0,0.00055,0,0,0,0,0,0,0,0,0,0,8980,0.00055,1
ack,pcap-filter,7,3,0,0,0,0.000404,0,0,0,0,0,0,0,0,0,0,4472,0.000404,1
ack,atw,4,4,14,0,0,0.000361,0,0,0,0,0,0,0,0,0,0,526,0.000361,0
ack,rmt,8,21,17,0,0,0.000289,0,0,0,0,0,0,0,0,0,0,650,0.000289,0
ack,ekermit,1,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0,663,0.00027,0
ack,ipf,5,0,0,0,0,0.000066,0,0,0,0,0,0,0,0,0,0,10513,0.000066,1
ack,pf.conf,5,27,98,0,0,0.000092,0,0,0,0,0,0,0,0,0,0,15019,0.000092,1
ack,rssadapt,9,2,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,1435,0.00011,0
ack,iptest,1,0,0,0,0,0.000265,0,0,0,0,0,0,0,0,0,0,530,0.000265,0
acpi,acpi,4,49,58,20.466754,0,0.007554,0,0,0,0,0,0,0,0.083508,0,0,2137,20.557815,1
acpi,acpidump,8,5,6,0,0.576528,0.003884,0,0,0,0,0,0,0,0,1.949215,0,533,2.529627,1
acpi,acpibut,4,3,3,0,1.4115,0.009598,0,0,0,0,0,0,0,0,0,0,66,1.421098,1
acpi,acpifan,4,2,5,0,1.4115,0.002371,0,0,0,0,0,0,0,0,0,0,86,1.413871,1
acpi,acpibat,4,4,9,0,1.4115,0.0016,0,0,0,0,0,0,0,0,0,0,265,1.4131,1
acpi,acpicpu,4,5,19,0,1.4115,0.001548,0,0,0,0,0,0,0,0,0,0,1498,1.413049,1
acpi,acpiacad,4,6,7,0,0.951942,0.008198,0,0,0,0,0,0,0,0,0,0,84,0.96014,1
acpi,acpidalb,4,2,2,0,0,0.007027,0,0,0,0,0,0,0,0,0.951942,0,110,0.958969,1
acpi,acpilid,4,3,4,0,0.951942,0.007027,0,0,0,0,0,0,0,0,0,0,64,0.958969,1
acpi,acpiec,4,2,5,0,0.951942,0.006537,0,0,0,0,0,0,0,0,0,0,312,0.958479,1
acpi,ug,4,2,4,0,0,0.001726,0,0,0,0,0,0,0,0,0,0,203,0.001726,0
acpi,wss,4,12,7,0,0,0.00127,0,0,0,0,0,0,0,0,0,0,182,0.00127,0
acpi,tsc,9,1,7,0,0,0.000621,0,0,0,0,0,0,0,0,0,0,368,0.000621,0
acpi,pcppi,4,9,12,0,0,0.001386,0,0,0,0,0,0,0,0,0,0,174,0.001386,0
acpi,vald,4,1,1,0,0,0.00463,0,0,0,0,0,0,0,0,0,0,109,0.00463,0
add group,groupadd,8,4,4,0,0.837682,0.005782,0,0,0,0,0,0,0,0.029976,0,0,376,0.87344,1
add group,vgextend,8,0,0,0,0.718701,0.003735,0,0,0,0,0,0,0,0,0,0,144,0.722436,1
add group,useradd,8,14,20,0,0.432938,0.001031,0,0,0,0,0,0,0,0.009972,0.236885,0,2854,0.680826,1
add group,vgs,8,0,0,0,0.488747,0.000525,0,0,0,0,0,0,0,0,0,0,706,0.489272,1
add group,chpass,1,13,0,0,0.432938,0.000723,0,0,0,0,0,0,0,0.003021,0,0,1754,0.436683,1
add group,vgchange,8,0,0,0,0.407554,0.001609,0,0,0,0,0,0,0,0,0,0,1300,0.409164,1
add group,troff,1,35,0,0,0,0.00014,0,0,0,0.276201,0,0,0,0,0,0,3288,0.276341,0
add group,file,1,9,15,0,0,0.000247,0,0,0.271408,0,0,0,0,0,0,0,5590,0.271655,0
add group,tar,1,29,10,0,0,0.000156,0,0,0,0,0,0.167945,0,0.001339,0,0,3468,0.169441,0
add group,timed,8,19,15,0,0,0.000619,0,0,0,0,0,0,0,0.029904,0.028327,0,2216,0.05885,0
add group,ipsec_set_policy,3,12,0,0,0,0.000229,0,0,0,0,0,0,0,0,0,0,1856,0.000229,0
add group,compat_linux,8,2,6,0,0,0.000143,0,0,0,0,0,0,0,0,0,0,5384,0.000143,0
add group,gcc,1,25,0,0,0,0.000064,0,0,0,0,0,0,0,0,0,0,226168,0.000064,0
add group,multicast,4,5,14,0,0,0.000142,0,0,0,0,0,0,0,0,0,0,7616,0.000142,0
add group,RAND_set_rand_method,3,0,0,0,0,0.000688,0,0,0,0,0,0,0,0,0,0,568,0.000688,0
add new user,UI_new,3,0,0,0,3.167621,0.001959,0,0,0,0,0,0,0,0,0,0,2673,3.16958,0
add new user,useradd,8,14,20,0,1.002899,0.003493,0,0,0,0,0,0,0,0.054589,0.333164,0,4281,1.394145,1
add new user,_lwp_create,2,7,6,0,1.249273,0.003038,0,0,0,0,0,0,0.086651,0.013352,0,0,1032,1.352314,0
add new user,route,8,27,17,0,0,0.001008,0,0,0,0,0,1.028572,0,0.012828,0,0,5856,1.042408,0
add new user,utmpx,5,19,0,0,0.703881,0.000828,0,0,0,0,0,0,0,0,0.104545,0,1281,0.809254,0
add new user,edquota,8,10,10,0,0.703881,0.001638,0,0,0,0,0,0,0,0,0,0,1743,0.705519,0
add new user,groupadd,8,4,4,0,0.652734,0.004633,0,0,0,0,0,0,0,0.039281,0,0,564,0.696648,1
add new user,ldapmodify,1,0,0,0,0.489974,0.001239,0,0,0,0,0,0,0,0,0,0,2352,0.491213,0
add new user,cleanup,8,0,0,0,0,0.000332,0,0,0,0,0,0,0,0,0,0,6057,0.000332,0
add new user,dhcpcd.conf,5,9,17,0,0,0.000352,0,0,0,0,0,0,0,0.003513,0,0,13611,0.003865,0
add new user,ipf,5,0,0,0,0,0.000132,0,0,0,0,0,0,0,0,0,0,31539,0.000132,0
add new user,evhttp,3,0,0,0,0,0.000465,0,0,0,0,0,0,0,0,0,0,10926,0.000465,0
add new user,isdnd.rc,5,14,12,0,0,0.00019,0,0,0,0,0,0,0,0.001876,0,0,16461,0.002066,0
add user,ssh-add,1,10,9,45.020184,0.350807,0.003531,0,0,0.726132,0.453731,2.756338,0,0,0.008161,0,0,1714,49.318884,0
add user,sntp,1,1,3,0,0,0.000095,0,0,0,0,0.188632,0,0,0,0,22.510092,3402,22.698819,0
add user,chpass,1,13,0,0,0.718045,0.001552,0,0,0.23448,0.057694,0,0,0,0.019555,0,0,1754,1.031325,1
add user,useradd,8,14,20,0,0.718045,0.001248,0,0,0,0,0,0,0,0.013516,0.17053,0,2854,0.903338,1
add user,route,8,27,17,0,0,0.000583,0,0,0,0,0,0.699796,0,0.00643,0,0,3904,0.706809,0
add user,utmpx,5,19,0,0,0.503957,0.000358,0,0,0,0,0,0,0,0,0.074851,0,854,0.579166,0
add user,RAND_add,3,0,0,0,0.560417,0.001297,0,0,0,0,0,0,0,0,0,0,662,0.561714,0
add user,UI_new,3,0,0,0,0.503957,0.001271,0,0,0,0,0,0,0,0,0,0,1782,0.505228,0
add user,cpp,1,23,0,0,0,0.000111,0,0,0,0,0,0,0,0,0,0,10548,0.000111,0
add user,SLIST_HEAD,3,0,0,0,0,0.000062,0,0,0,0,0,0,0,0,0,0,19460,0.000062,0
add user,secmodel,9,11,31,0,0,0.000174,0,0,0,0,0,0,0,0.001524,0,0,3394,0.001698,0
add user,cvs,1,5,0,0,0,0.000095,0,0,0,0,0,0,0,0,0,0,33356,0.000095,0
add wireless connection,strip,4,7,16,0,0.680798,0.000349,0,0,0,0,0,0,0,0,0,0,2187,0.681147,0
add wireless connection,ssh,1,111,47,0,0,0.00129,0,0,0.259778,0,0,0,0,0.008093,0.022878,0,22230,0.292039,0
add wireless connection,pf.conf,5,27,98,0,0,0.000703,0,0,0,0,0,0,0,0.004911,0.036078,0,45057,0.041691,0
add wireless connection,rc.conf,5,71,162,0,0,0.000278,0,0,0,0,0,0,0,0,0.018315,0,16320,0.018593,1
add wireless connection,dhcpcd.conf,5,9,17,0,0,0.000772,0,0,0,0,0,0,0,0.00917,0,0,13611,0.009943,1
add wireless connection,ifconfig,8,394,41,0,0,0.00378,0,0,0,0,0,0,0,0.001356,0.003446,0,18504,0.008582,1
add wireless connection,dhcpcd,8,15,17,0,0,0.00049,0,0,0,0,0,0,0,0.001908,0,0,10821,0.002398,1
add wireless connection,tcpdump,8,26,0,0,0,0.000206,0,0,0,0,0,0,0,0,0,0,26940,0.000206,0
