query,name,section,rank,indegree,outdegree,w_name,w_name_desc,w_desc,w_lib,w_return_vals,w_env,w_files,w_exit_status,w_diagnostics,w_errors,w_special_keywords,w_xr_context,w_machine,w_doclen,w_total
abor,ftpd,8,4,27,43,0.5,0.5,0.500493,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.501308,0.5,0.5,3535,0.62249
abor,ftp,1,4,23,17,0.5,0.5,0.500375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50263,0.5,0.5,8336,0.62251
abort,kcopy,9,3,1,4,0.5,0.999945,0.501739,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,74,0.630843
abort,abort,3,4,16,2,1,0.5,0.504899,0.5,0.992649,0.5,0.5,0.5,0.5,0.5,0.806442,0.720238,0.5,147,0.647684
abort,wait,2,0,20,0,0.5,0.5,0.5,0.5,0.553263,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1229,0.623353
abort,assert,3,1,3,5,0.5,0.5,0.502536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,125,0.622502
accept,BIO_s_accept,3,4,0,0,0.5,0.999994,0.500741,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,809,0.630827
accept,accept,2,4,21,0,1,0.990158,0.500313,0.5,0.712647,0.5,0.5,0.5,0.5,0.592586,0.523901,0.513592,0.5,888,0.644564
accept,SSL_alert_type_string,3,0,0,0,0.5,0.5,0.5,0.5,0.507271,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1038,0.622581
accept,SSL_get_error,3,0,0,0,0.5,0.5,0.5,0.5,0.505886,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,634,0.622558
accept,accf_data,9,2,2,3,0.5,0.5,0.500859,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.685362,0.5,0.5,52,0.62558
accf_data,accf_data,9,4,2,3,0.999767,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,52,0.630811
accf_data,accept_filter,9,3,7,0,0.5,0.5,0.512943,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,401,0.622677
acct,acct,2,4,3,5,0.999796,0.5,0.512032,0.5,0.5,0.5,0.5,0.5,0.5,0.560819,0.531698,0.5,0.5,424,0.632549
acct,acct,5,4,7,7,0.999796,0.5,0.503821,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,265,0.630875
acct,isdnd.acct,5,2,0,6,0.992269,0.5,0.501348,0.5,0.5,0.5,0.644787,0.5,0.5,0.5,0.553904,0.5,0.5,218,0.634008
acct,accton,8,3,3,4,0.5,0.5,0.506929,0.5,0.5,0.5,0.687899,0.5,0.5,0.5,0.561698,0.5,0.5,137,0.626756
acct,radius.conf,5,0,4,3,0.5,0.5,0.501307,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,608,0.622481
ack,ascii,7,1,22,0,0.5,0.5,0.500151,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,731,0.622462
ack,plip,4,1,1,9,0.5,0.5,0.500149,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1014,0.622462
ack,tcpdump,8,3,26,0,0.5,0.5,0.500138,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8980,0.622462
ack,pcap-filter,7,3,3,0,0.5,0.5,0.500101,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4472,0.622461
ack,atw,4,1,4,14,0.5,0.5,0.50009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,526,0.622461
acpi,acpi,4,4,49,58,1,0.5,0.501888,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.520858,0.5,0.5,2137,0.631193
acpi,acpibut,4,3,3,3,0.5,0.803926,0.502399,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,66,0.627587
acpi,acpifan,4,3,2,5,0.5,0.803926,0.500593,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,86,0.627557
acpi,acpibat,4,3,4,9,0.5,0.803926,0.5004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,265,0.627554
acpi,acpicpu,4,3,5,19,0.5,0.803926,0.500387,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1498,0.627554
acpibat,acpibat,4,4,4,9,0.999479,0.5,0.506572,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,265,0.630916
acpibat,acpipmtr,4,3,1,4,0.5,0.5,0.507696,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,74,0.622589
acpibat,envstat,8,2,81,38,0.5,0.5,0.500847,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1152,0.622474
